x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,Zn,pH
27,11,1268.27537818796,334.735895463458,0.185737293042199,195.566429941435,124.032035490783,77.1161177672211,210.393476966271,1.2060425198189,6.423430847,0.628595404254298,5.10903268313451
27,12,1213.19266343496,361.833076125242,0.121371745264207,177.209191628445,167.296052548174,92.0793737815889,192.568377538762,0.619237913307922,7.063598471,0.593666230043189,5.19546722305138
27,13,1350.28903300838,444.517608032897,0.217042450415096,156.663953928872,178.994728507926,111.615575537923,161.869194471447,-1.64113790634119,5.960462816,0.767044068409697,5.13462553950673
27,14,1371.32703865504,533.552285334149,0.325947252785811,137.642341281891,197.299367380828,117.917641821721,134.888614080495,-2.7815497716904,5.79073253,0.839100443115178,5.09356071893711
27,15,1349.85571362044,639.418224204511,0.412182410495972,141.954805678942,125.485339827405,135.211645175054,128.560515561279,-2.40288148216996,5.488133935,0.951280032522802,5.1331655893094
27,16,1342.9839321318,660.749918640798,0.500179755202988,154.814135203216,58.7627128908077,159.926924023538,149.307476854897,-1.20156892927738,5.418267623,0.894159169451974,5.13187279268289
27,17,1315.90565824861,715.876478075107,0.578869021664781,158.825390294736,50.0999316781457,167.200081752996,171.101502111524,-0.664541556681071,5.5945047,0.87400068440553,5.12182414925289
27,18,1267.96247370279,899.599247631,0.580106657546302,155.824112273825,147.604126044009,158.065698165847,163.99393228713,-1.37625934689864,5.980753981,1.03208686937448,5.17427697260329
27,19,1283.84417179151,1052.31637678798,0.542785028001961,136.328273409896,365.74177818959,125.327794737767,144.451204721399,-1.79373492675745,6.836498927,1.11770368194548,5.23547295009687
27,20,1310.12575697446,803.585253739803,0.510083642649204,130.311915161662,399.897921186829,107.916767950797,135.038407154372,-1.63352899600827,5.992034698,1.04596337837656,5.17427008999328
27,21,1278.79349028033,417.573328486405,0.459816829641004,133.208255129548,278.47843422131,87.3865970209617,135.075214445373,-0.89916631077388,4.68806716,0.9531379063229,5.05172923002545
27,22,1281.23453211834,327.141567644819,0.464407817428783,147.624304626694,238.431238905872,105.308539321147,147.347719395646,-0.623287051178593,4.532914822,0.933770203597762,4.95029106593306
27,23,1322.45259737176,384.693385843375,0.408244094332708,167.223959719534,262.24014439185,122.353703731533,167.201947453136,-0.705232015158659,5.118892239,0.867375888822584,4.87872340239161
27,24,1334.27148691286,526.55450566389,0.363884079729846,186.797122147367,333.981873659204,106.8259887262,201.363685799988,-0.102276895045744,5.528492848,0.808035437084104,4.83243494231165
27,25,1362.8792547307,597.758376462075,0.360834685031873,189.510875794746,358.409445233349,91.6772796835527,209.771348697323,-0.12928930394966,5.464439416,0.711178152922906,4.81952804543008
28,1,1569.11682888296,297.518573235215,0.73261119192359,245.86194325566,44.0783018873297,48.4367622755929,136.112801905093,0.876200373844645,5.670403707,1.02939296061253,4.68891445075041
28,2,1564.33053208418,306.988230800131,0.849757917509384,236.994738500345,38.9805230439101,45.1761692635449,112.693686010391,-0.19541532668212,5.506546956,0.95689389519708,4.66520130588875
28,3,1708.47142734956,241.44655746102,1.03764012506103,226.339281048676,33.0437015071846,46.6501189973505,100.545744282159,-1.75128303803487,5.185693842,0.989325605489021,4.58884827339882
28,4,1947.32000767637,135.962765621762,1.14061854927943,214.639415913186,19.4685271399915,45.5761080872105,99.0902155688758,-1.45445450107359,5.179381121,1.02062284311864,4.49083140601002
28,5,2186.17513622376,68.031048239587,0.91610943672825,210.036761580796,7.2402703673764,38.6561200713172,113.28320181966,0.967794346698735,5.366961202,1.01774755712531,4.35233966846916
28,6,2340.91595460595,35.8059120781953,0.573573210558279,211.581192683399,2.77152435990662,26.9517463772969,143.551318241976,3.79567337972412,5.847403558,0.882629305526755,4.19367662260402
28,7,2321.26480712004,44.4378966971699,0.442228926898241,215.793594646613,2.15587785403999,25.0285284192898,168.093875746291,6.59850706874234,6.20125898,0.856128559954908,4.1594939679061
28,8,2013.71263409685,135.447275259164,0.582107070107817,219.102654050937,3.15439496704943,43.9960588601593,155.619667995389,5.87969456805584,5.662780699,0.970542427056546,4.35404336024179
28,9,1706.44136869337,235.404571558905,0.703570062946664,217.786718467344,8.84790377337514,68.4783977967741,155.481154723044,3.12595167129739,5.460892395,1.06501150766585,4.55856241454751
28,10,1484.57888591191,324.368869252761,0.488123115631848,213.671951254448,28.8111686448283,78.7563255187637,173.723405444148,1.21514198361961,5.496734503,0.905233653468158,4.75890473359659
28,11,1381.20552478292,325.97564256717,0.189985970557179,201.545099928347,84.5651776649361,69.9249087556713,196.179377155649,0.121599190492931,5.603898711,0.63162179390117,4.9228643067646
28,12,1384.59967657762,334.213084231165,0.118513462571518,180.251359296267,127.793551909233,84.0477589303031,191.858857148721,-0.558992354723003,5.540438852,0.607534737059793,5.00336333609957
28,13,1505.27113357877,409.168791147085,0.179306577927571,146.428812288066,122.001844981968,123.866970003874,151.504408779248,-2.85817588502793,5.161251331,0.770060554418442,5.10634565745843
28,14,1552.3817000207,577.737770908517,0.263276809778775,115.126434369241,106.157760558575,162.870812942811,104.318402214265,-3.44705879636813,4.677551995,0.929923551126768,5.23382477510559
28,15,1418.80554241957,775.407360968126,0.30104584563446,107.908480854856,69.0022583716041,191.868652854807,81.8484301551713,-2.12928456319452,4.458905178,0.968203261858,5.27624046602675
28,16,1276.33330021732,689.210639164374,0.353803100649654,126.323666366803,47.5529246680108,206.382190559857,111.390296142625,-0.938041950578274,4.948449178,1.00985816145992,5.05228222974896
28,17,1188.28049274573,675.422213849707,0.426992836543478,141.307673961529,51.8954988016903,200.778326028381,144.002591665301,-0.386004944009922,5.311955935,1.06168207347234,4.92068129116251
28,18,1211.4389172961,795.303331956388,0.534949148245965,141.010469954778,138.5006375224,200.557013351175,151.996937344944,-1.73057519582757,5.546106791,1.12058555391722,5.00399156867202
28,19,1297.41148192399,924.234169226862,0.623238944398359,127.507170287829,336.018138975024,172.518701259952,133.399727159425,-2.6698554296553,5.774805229,1.14840630587627,5.11339020359299
28,20,1371.86122737599,800.013826974985,0.62264175897831,123.538686762239,380.280055265175,131.423386473318,112.977448132387,-2.71919791639563,5.473882448,1.07559463307145,5.08545700499844
28,21,1351.36323671524,456.329994054855,0.545367926605315,131.864876433075,253.801724220757,95.2630938813646,100.343174948975,-2.21041659713623,4.870963584,0.94197348032236,4.95536936620164
28,22,1324.00679196256,285.085569437815,0.457657948989152,144.971703385112,193.312268943083,86.4944408811367,105.759193956763,-2.15643415163358,4.806918433,0.847835892627525,4.85157156643965
28,23,1327.40052386814,288.621662799734,0.345221394640428,156.799551436089,222.915247291852,90.9424265933166,136.362598893383,-2.65773410581755,5.354846737,0.733156817688668,4.82272028642976
28,24,1326.80799829112,374.379993173033,0.24932595008751,166.471127338981,270.879990601497,85.8188843301445,172.335735241141,-2.38811537083366,5.814556426,0.630691080062851,4.81133235596325
28,25,1325.96545101612,465.037633578879,0.262131133897366,176.931446105396,315.886908392299,78.468890864258,191.403824024022,-1.3515196358236,5.59928762,0.590001523419552,4.80129189180326
