x,y,Al,Ca,Cu,Fe,K,Mg,Mn,Nmin,P,pH
4,24,3465.8666424944,113.400196867251,2.31467254418145,423.29284578272,44.2529013742611,20.616262946736,7.30515432455417,-6.05598872826776,9.8837834592291,4.77372878434803
4,25,3345.8283686809,142.804693749206,2.62193040624897,444.082552860988,47.1368242487292,26.1760194363255,12.8435166083953,-1.30192016095797,11.8105993451922,4.91749263832271
5,1,3549.90844667969,153.680498966651,2.73511240208573,1013.59865642146,81.0217791921783,26.3000664032805,4.81681299803791,-0.771614108049672,47.2117188205042,4.27619249600889
5,2,3504.90682533479,215.458998323709,2.43315126082902,939.157141663362,85.1240738818289,31.4082210986762,7.23586754418609,-3.33450717141243,43.497748169471,4.23557231157256
5,3,3491.6840151914,200.871104465824,2.24551721480123,732.08538746922,90.0566977588125,29.9176842571388,4.80534493616618,-3.42010307219168,44.3156946416639,4.16942920091694
5,4,3516.53188385951,209.088866947584,2.46565002944948,742.507516219582,89.4117758950485,31.3521967625678,3.47552554890394,-1.80081298754914,50.5178188184578,4.15398956405027
5,5,3226.88317755256,218.615217102405,2.73927588191077,885.88460131338,85.6106062487746,34.7681388418949,0.418170325843562,3.20811453128493,58.1473976677508,4.09231664774752
5,6,3448.0852314555,197.119170646773,2.8338444038772,871.977519105546,78.8300161048943,31.2406992276832,0.0187353755725474,-5.33908180777079,48.9423697275083,4.05633226805136
5,7,3503.2948371231,198.336612404035,2.859127985609,753.129667319252,72.7794220363486,32.6508482744264,0.0172188926393835,-5.77646803589267,39.137393362908,3.98800939689165
5,8,3691.08050970663,205.550116318405,2.83632281881244,546.216847926015,69.6330358655284,31.0924503374846,0.0448431075494983,-7.59663555937617,35.481189338881,4.04125785219368
5,9,3704.96281652302,210.031679452567,2.51183191415321,375.95369294594,67.8718103837714,30.68541128802,0.048317968138316,-6.11871806245063,31.7473099948971,4.08324991433232
5,10,3787.47472108107,169.183913430313,2.14938737260303,389.886376275826,65.9851135981504,26.5663788283266,0.0134237593686129,-9.67995675586702,24.2424846796603,4.14400585134015
5,11,3895.9526421915,145.060523595357,2.03244728776913,439.666725613283,64.9502218308084,25.3869708078056,0.0317909880830592,-12.5414660536544,19.8496084504833,4.17673262300655
5,12,3821.0677713329,171.269896035218,2.0865163364609,423.746865839887,62.7301506893382,26.0129784335803,1.33034200308097,-10.1855865519353,16.3772595754,4.40906291067351
5,13,3829.37527155746,160.567177351224,1.98412930430295,414.301614980411,56.5264796783048,26.1530523262782,5.25778999690776,-8.68424230366488,12.4054361943749,4.67932295578589
5,14,3736.8103622823,153.394983724011,1.55511366264989,394.225098314713,50.6225034038694,22.6785214680586,2.05758707758229,-7.18196258314496,9.23412489174747,4.82474921100503
5,15,3735.13260056291,128.674411451065,1.1879948207574,318.122102878925,45.3127188844859,18.9922250757933,0.04523865557676,-3.93720916059691,7.66344718002603,4.80534465391661
5,16,3592.07306678249,118.504284280373,1.27819845849634,450.750276084858,42.7890395622087,18.7593345985674,0.0318324115344759,-4.56261698999094,7.12857028160245,4.67659703986327
5,17,3448.28896433478,196.315642959375,1.56522027944588,667.729004854088,41.2154866966316,22.9410841211081,0.43569744288425,-5.05304046326486,7.98433604910578,4.67447462906393
5,18,3550.10016713525,131.263601888701,1.76168311920846,529.843269612302,39.90967394643,19.2148650576071,1.1710092662213,-6.15576265753828,10.3983031680917,4.80599158561192
5,19,3506.94386704692,100.061431568908,1.69053907869188,370.242003148674,36.0636075860783,16.5901560564456,1.16947335013073,-5.86714639620897,9.8374303121862,4.99303627473344
5,20,3577.00746773848,67.9077479549507,1.60971775515129,347.9463125846,31.5029756333117,10.2928450181801,1.57216557610201,-6.86813249519531,5.64056013220456,4.90545240953431
5,21,3825.67069628772,90.0837309685117,1.7542721944921,507.550225264303,31.6292516593949,13.5370479458616,2.95249373313382,-5.57388628370341,5.14909643508967,4.72446492075703
5,22,3654.15590794521,89.6627872269685,1.68575459701496,443.023443192528,33.7677666425045,14.9758833264942,7.02263732373536,-7.40031734244049,5.37482646300433,4.69286685658599
5,23,3610.92481328983,72.814180142227,1.53771414482867,332.791010732608,36.8522972578108,14.0981271699567,5.82410805030587,-8.4304118570948,3.80409526742105,4.74097397864393
